ticker,symbol,base_symbol,active
BTCUSDT,BTC,USDT,1
ETHUSDT,ETH,USDT,1
BNBUSDT,BNB,USDT,1
BCCUSDT,BCC,USDT,1
NEOUSDT,NEO,USDT,1
LTCUSDT,LTC,USDT,1
QTUMUSDT,QTUM,USDT,1
ADAUSDT,ADA,USDT,1
XRPUSDT,XRP,USDT,1
EOSUSDT,EOS,USDT,1
TUSDUSDT,TUSD,USDT,1
IOTAUSDT,IOTA,USDT,1
XLMUSDT,XLM,USDT,1
ONTUSDT,ONT,USDT,1
TRXUSDT,TRX,USDT,1
ETCUSDT,ETC,USDT,1
ICXUSDT,ICX,USDT,1
VENUSDT,VEN,USDT,1
NULSUSDT,NULS,USDT,1
VETUSDT,VET,USDT,1
PAXUSDT,PAX,USDT,1
BCHABCUSDT,BCHABC,USDT,1
BCHSVUSDT,BCHSV,USDT,1
USDCUSDT,USDC,USDT,1
LINKUSDT,LINK,USDT,1
WAVESUSDT,WAVES,USDT,1
BTTUSDT,BTT,USDT,1
USDSUSDT,USDS,USDT,1
ONGUSDT,ONG,USDT,1
HOTUSDT,HOT,USDT,1
ZILUSDT,ZIL,USDT,1
ZRXUSDT,ZRX,USDT,1
FETUSDT,FET,USDT,1
BATUSDT,BAT,USDT,1
XMRUSDT,XMR,USDT,1
ZECUSDT,ZEC,USDT,1
IOSTUSDT,IOST,USDT,1
CELRUSDT,CELR,USDT,1
DASHUSDT,DASH,USDT,1
NANOUSDT,NANO,USDT,1
OMGUSDT,OMG,USDT,1
THETAUSDT,THETA,USDT,1
ENJUSDT,ENJ,USDT,1
MITHUSDT,MITH,USDT,1
MATICUSDT,MATIC,USDT,1
ATOMUSDT,ATOM,USDT,1
TFUELUSDT,TFUEL,USDT,1
ONEUSDT,ONE,USDT,1
FTMUSDT,FTM,USDT,1
ALGOUSDT,ALGO,USDT,1
USDSBUSDT,USDSB,USDT,1
GTOUSDT,GTO,USDT,1
ERDUSDT,ERD,USDT,1
DOGEUSDT,DOGE,USDT,1
DUSKUSDT,DUSK,USDT,1
ANKRUSDT,ANKR,USDT,1
WINUSDT,WIN,USDT,1
COSUSDT,COS,USDT,1
NPXSUSDT,NPXS,USDT,1
COCOSUSDT,COCOS,USDT,1
MTLUSDT,MTL,USDT,1
TOMOUSDT,TOMO,USDT,1
PERLUSDT,PERL,USDT,1
DENTUSDT,DENT,USDT,1
MFTUSDT,MFT,USDT,1
KEYUSDT,KEY,USDT,1
STORMUSDT,STORM,USDT,1
DOCKUSDT,DOCK,USDT,1
WANUSDT,WAN,USDT,1
FUNUSDT,FUN,USDT,1
CVCUSDT,CVC,USDT,1
CHZUSDT,CHZ,USDT,1
BANDUSDT,BAND,USDT,1
BUSDUSDT,BUSD,USDT,1
BEAMUSDT,BEAM,USDT,1
XTZUSDT,XTZ,USDT,1
RENUSDT,REN,USDT,1
RVNUSDT,RVN,USDT,1
HCUSDT,HC,USDT,1
HBARUSDT,HBAR,USDT,1
NKNUSDT,NKN,USDT,1
STXUSDT,STX,USDT,1
KAVAUSDT,KAVA,USDT,1
ARPAUSDT,ARPA,USDT,1
IOTXUSDT,IOTX,USDT,1
RLCUSDT,RLC,USDT,1
MCOUSDT,MCO,USDT,1
CTXCUSDT,CTXC,USDT,1
BCHUSDT,BCH,USDT,1
TROYUSDT,TROY,USDT,1
VITEUSDT,VITE,USDT,1
FTTUSDT,FTT,USDT,1
EURUSDT,EUR,USDT,1
OGNUSDT,OGN,USDT,1
DREPUSDT,DREP,USDT,1
BULLUSDT,BULL,USDT,1
BEARUSDT,BEAR,USDT,1
ETHBULLUSDT,ETHBULL,USDT,1
ETHBEARUSDT,ETHBEAR,USDT,1
TCTUSDT,TCT,USDT,1
WRXUSDT,WRX,USDT,1
BTSUSDT,BTS,USDT,1
LSKUSDT,LSK,USDT,1
BNTUSDT,BNT,USDT,1
LTOUSDT,LTO,USDT,1
EOSBULLUSDT,EOSBULL,USDT,1
